Quarter,Time,Down,ToGo,Location,Detail,PIT,NWE,EPB,EPA
1,15:00,,,PIT 35,"Chris Boswell kicks off 60 yards, returned by Brandon Bolden for 15 yards (tackle by Vince Williams)",0,0,0,0.28
1,14:56,1,10,NWE 20,Sony Michel left guard for -1 yards (tackle by Stephon Tuitt),0,0,0.28,-0.46
1,14:17,2,11,NWE 19,Brandon Bolden right end for 7 yards (tackle by Mark Barron),0,0,-0.46,-0.16
1,13:43,3,4,NWE 26,James White right end for 9 yards (tackle by Joe Haden),0,0,-0.16,1.27
1,13:14,1,10,NWE 35,Sony Michel left tackle for 3 yards (tackle by Steven Nelson and Tyson Alualu),0,0,1.27,1.13
1,12:43,2,7,NWE 38,Sony Michel right end for -3 yards (tackle by Stephon Tuitt and Terrell Edmunds),0,0,1.13,0.04
1,12:06,3,10,NWE 35,Tom Brady pass incomplete deep middle intended for Julian Edelman,0,0,0.04,-1.04
1,12:01,4,10,NWE 35,Jake Bailey punts 53 yards out of bounds,0,0,-1.04,0.35
1,11:54,1,10,PIT 12,James Conner right guard for 4 yards (tackle by Dont'a Hightower),0,0,-0.35,-0.37
1,11:16,2,6,PIT 16,Ben Roethlisberger pass complete short right to JuJu Smith-Schuster for 7 yards (tackle by Dont'a Hightower and Stephon Gilmore),0,0,-0.37,0.48
1,10:38,1,10,PIT 23,Ben Roethlisberger pass complete short left to James Conner for 9 yards (tackle by Stephon Gilmore),0,0,0.48,1.15
1,10:07,2,1,PIT 32,James Conner right tackle for 3 yards (tackle by Lawrence Guy and Shilique Calhoun),0,0,1.15,1.27
1,09:27,1,10,PIT 35,James Conner left guard for 2 yards (tackle by Patrick Chung and Lawrence Guy),0,0,1.27,0.99
1,08:49,2,8,PIT 37,Jaylen Samuels left tackle for 2 yards (tackle by Dont'a Hightower),0,0,0.99,0.56
1,08:07,3,6,PIT 39,Ben Roethlisberger pass incomplete deep right intended for Johnny Holton (defended by Jonathan Jones),0,0,0.56,-0.78
1,08:01,4,6,PIT 39,"Jordan Berry punts 43 yards, fair catch by Gunner Olszewski at NE-18",0,0,-0.78,-0.04
1,07:54,1,10,NWE 18,Tom Brady pass incomplete short left intended for Julian Edelman,0,0,0.04,-0.49
1,07:50,2,10,NWE 18,Tom Brady pass complete short middle to Rex Burkhead for 17 yards (tackle by Mike Hilton),0,0,-0.49,1.27
1,07:20,1,10,NWE 35,"Tom Brady pass incomplete short middle intended for Julian Edelman. Penalty on Ryan Izzo: Offensive Pass Interference, 10 yards (no play)",0,0,1.27,0.61
1,07:14,1,20,NWE 25,James White up the middle for 8 yards (tackle by Mark Barron and Devin Bush),0,0,0.61,0.45
1,06:36,2,12,NWE 33,James White right guard for 7 yards (tackle by Tyson Alualu and Devin Bush),0,0,0.45,0.7
1,05:58,3,5,NWE 40,Tom Brady pass complete short left to Phillip Dorsett for 8 yards (tackle by Joe Haden),0,0,0.7,2.13
1,05:35,1,10,NWE 48,Julian Edelman pass complete short left to James White for 32 yards (tackle by Cameron Sutton),0,0,2.13,4.24
1,04:55,1,10,PIT 20,"Tom Brady pass complete short right to Josh Gordon for 20 yards, touchdown",0,6,4.24,7
1,04:46,,,PIT 15,Stephen Gostkowski kicks extra point good,0,7,0,0
1,04:46,,,NWE 35,"Stephen Gostkowski kicks off 65 yards, touchback.",0,7,0,0.61
1,04:46,1,10,PIT 25,Jaylen Samuels left guard for 2 yards (tackle by Jamie Collins),0,7,0.61,0.33
1,04:06,2,8,PIT 27,"Ben Roethlisberger pass complete short middle to Jaylen Samuels for no gain (tackle by Dont'a Hightower). Penalty on Alejandro Villanueva: Offensive Holding, 10 yards (no play)",0,7,0.33,-1.15
1,03:35,2,18,PIT 17,Ben Roethlisberger pass complete short middle to Donte Moncrief for 3 yards (tackle by Jason McCourty),0,7,-1.15,-1.29
1,03:25,3,15,PIT 20,"Penalty on Donte Moncrief: False Start, 5 yards (no play)",0,7,-1.29,-2.35
1,03:05,3,20,PIT 15,Ben Roethlisberger pass complete short left to Diontae Johnson for 9 yards (tackle by Jason McCourty),0,7,-2.35,-1.77
1,02:33,4,11,PIT 24,"Jordan Berry punts 58 yards, returned by Gunner Olszewski for 20 yards (tackle by Tyler Matakevich)",0,7,-1.77,-1.47
1,02:16,1,10,NWE 38,Tom Brady pass complete deep middle to Jakobi Meyers for 22 yards (tackle by Mike Hilton),0,7,1.47,2.92
1,01:32,1,10,PIT 40,Tom Brady pass complete short right to James White for 4 yards (tackle by Mark Barron),0,7,2.92,2.91
1,00:53,2,6,PIT 36,Sony Michel right guard for 5 yards (tackle by Joe Haden and Mark Barron),0,7,2.91,2.87
1,00:32,3,1,PIT 31,Sony Michel right guard for 2 yards (tackle by Terrell Edmunds),0,7,2.87,3.64
